id,volume,chapter,page,clause,family_seed,capability_area,impl_status,verif_status,release_status,phase_origin,package,evidence,remaining_work,notes,source_ref,evidence_scope
UX-01-001,V9,"1 Design Authority, Scope, and Conformance",10,"The Eye SHALL present Design Authority, Scope, and Conformance as a governed experience that enables authorized users to make the controlling design baseline, accountable owners, approved exceptions, and conformance status resolvable before a design or release decision; authority header, baseline registry, conformance scope, acceptance evidence SHALL precede secondary controls or ornamental prese…",V09-F001,ux,missing,unverified,none,omission,P7-E,DECISIONS.md: ADR-P0-14 (only recorded design decision),"Build the design baseline registry (baseline, requirement, component, pattern, exception, evidence package, acceptance record) with authority header, conformance scope and acceptance evidence.","No design-system governance surface exists; Vol 9 is recorded as ""not started"" in FULL_PRODUCT_DELIVERY_REGISTER.md §2; verification class required by the volume: Design review + journey test",v09.txt:page 10:L268,main
UX-01-002,V9,"1 Design Authority, Scope, and Conformance",10,"The experience SHALL persist, expose, version, and reconcile design baseline, design requirement, component, pattern, exception, evidence package, acceptance record; active tenant, domain, role, purpose, objective, geography, horizon, scenario, classification, effective time, object identity, freshness, provenance, and policy SHALL remain explicit wherever they change meaning or action.",V09-F001,ux,missing,unverified,none,omission,P7-E,DECISIONS.md: ADR-P0-14 (only recorded design decision),"Expose active objective, horizon, scenario, classification, effective time, freshness and policy wherever they change meaning; version and reconcile this chapter's controlled objects (design baseline, design requirement, component, pattern, exception, evidence package, acceptance record.) in the in…","No design-system governance surface exists; Vol 9 is recorded as ""not started"" in FULL_PRODUCT_DELIVERY_REGISTER.md §2; verification class required by the volume: State + trace test",v09.txt:page 10:L279,main
UX-01-003,V9,"1 Design Authority, Scope, and Conformance",10,"The primary command SHALL allow eligible users to register, compare, attest, supersede, or reject a design baseline without changing constitutional meaning; navigation, search, inspection, drafting, acknowledgment, review, approval, publication, and institutional effect SHALL remain visually and behaviorally distinct, attributable, recoverable, and replayable.",V09-F001,ux,missing,unverified,none,omission,P7-E,DECISIONS.md: ADR-P0-14 (only recorded design decision),Register/compare/attest/supersede/reject design-baseline commands with recorded Design System Authority.,"No design-system governance surface exists; Vol 9 is recorded as ""not started"" in FULL_PRODUCT_DELIVERY_REGISTER.md §2; verification class required by the volume: Interaction + command test",v09.txt:page 10:L289,main
UX-01-004,V9,"1 Design Authority, Scope, and Conformance",10,"The experience SHALL enforce this human-authority boundary: Only the recorded Design System Authority may approve design-system conformance; product meaning remains governed by Executive Product Authority. AI and automation may recommend, forecast, simulate, reason, explain, or execute explicitly pre-authorized reversible workflow steps, but SHALL NOT infer, preselect, obscure, or synthesize fina…",V09-F001,ux,missing,unverified,none,omission,P7-E,DECISIONS.md: ADR-P0-14 (only recorded design decision),"Render eligibility, separation/delegation/recusal, exact digest, consequence preview, deliberate action, signature and denial for: Only the recorded Design System Authority may approve design-system conformance; product meaning remains governed by Executive Product Authority.","No design-system governance surface exists; Vol 9 is recorded as ""not started"" in FULL_PRODUCT_DELIVERY_REGISTER.md §2; verification class required by the volume: Authority + consequence test",v09.txt:page 10:L300,main
UX-01-005,V9,"1 Design Authority, Scope, and Conformance",11,"When a component, pattern, owner, exception, or release cannot resolve to an approved authority, the experience SHALL hold admission or release, preserve disputed work, expose affected scope, and route the conflict through the recorded authority chain; it SHALL NOT represent unavailable, stale, unapproved, unsupported, inaccessible, policy-filtered, synthetic, or incomplete state as current and c…",V09-F001,ux,missing,unverified,none,omission,P7-E,DECISIONS.md: ADR-P0-14 (only recorded design decision),"Chapter-specific degraded journey: hold/deny with preserved work, affected scope, recovery route; fault traces, visible degraded state, disabled unsafe actions and reconciliation fixtures.","No design-system governance surface exists; Vol 9 is recorded as ""not started"" in FULL_PRODUCT_DELIVERY_REGISTER.md §2; verification class required by the volume: Fault + degraded journey",v09.txt:page 11:L317,main
UX-01-006,V9,"1 Design Authority, Scope, and Conformance",11,"Acceptance SHALL demonstrate orphan-free trace queries, authority conflict fixtures, exception expiry, and independent acceptance for the exact design-system version, component and pattern versions, capability, canonical journey, persona and role, tenant or domain, deployment profile, entitlement, theme, locale, device, assistive technology, configuration, data and model versions, consequence cla…",V09-F001,ux,missing,unverified,none,omission,P7-E,DECISIONS.md: ADR-P0-14 (only recorded design decision),"Independent conformance package for the exact design-system/component versions, persona, tenant, deployment profile, theme, locale, device, assistive technology and named accepting authorities; signed acceptance.","No design-system governance surface exists; Vol 9 is recorded as ""not started"" in FULL_PRODUCT_DELIVERY_REGISTER.md §2; verification class required by the volume: Independent conformance review",v09.txt:page 11:L329,main
UX-02-001,V9,2 Experience Doctrine and Strategic Intelligence Loop,12,"The Eye SHALL present Experience Doctrine and Strategic Intelligence Loop as a governed experience that enables authorized users to express Observe, Understand, Predict, Simulate, Decide, and Learn as one continuous operating loop rather than disconnected screens or feature islands; current loop stage, upstream evidence, next governed action, return and replay SHALL precede secondary controls or…",V09-F001,ux,partial,unverified,branch-only,phase6,P7-E,"apps/web/app/observation/layout.tsx; apps/web/app/decisions/layout.tsx; apps/web/app/admin/layout.tsx (+intelligence/graph/prediction/twins layouts) (rail links Observation→Intelligence→Graph→Prediction→Twins→Decisions); e2e/phase6-decisions.demo.spec.ts: DECISIONS: the committed package shows its state, SYNTHETIC consequences, the choice, dissent, approvals and the C3 commitment","Loop-stage indicator (current stage, upstream evidence, next governed action, return/replay) — today the stages are separate workspaces with no cross-stage context carry-over.",Decisions stage is branch-only (phase6-decisions); Observation…Twins are on main; verification class required by the volume: Design review + journey test | release_status merged → branch-only from the evidence at 2e83945,v09.txt:page 12:L390,branch+main+test
UX-02-002,V9,2 Experience Doctrine and Strategic Intelligence Loop,12,"The experience SHALL persist, expose, version, and reconcile objective, observation, intelligence object, forecast, scenario, simulation, decision, commitment, outcome, lesson; active tenant, domain, role, purpose, objective, geography, horizon, scenario, classification, effective time, object identity, freshness, provenance, and policy SHALL remain explicit wherever they change meaning or action.",V09-F001,ux,partial,unverified,branch-only,phase6,P7-E,"apps/web/app/observation/layout.tsx; apps/web/app/decisions/layout.tsx; apps/web/app/admin/layout.tsx (+intelligence/graph/prediction/twins layouts) (rail links Observation→Intelligence→Graph→Prediction→Twins→Decisions); e2e/phase6-decisions.demo.spec.ts: DECISIONS: the committed package shows its state, SYNTHETIC consequences, the choice, dissent, approvals and the C3 commitment","Context dimensions beyond tenant/domain/role are absent (objective, horizon, scenario, classification, effective time, policy); Expose active objective, horizon, scenario, classification, effective time, freshness and policy wherever they change meaning; version and reconcile this chapter's control…",Decisions stage is branch-only (phase6-decisions); Observation…Twins are on main; verification class required by the volume: State + trace test | release_status merged → branch-only from the evidence at 2e83945,v09.txt:page 12:L402,branch+main+test
UX-02-003,V9,2 Experience Doctrine and Strategic Intelligence Loop,12,"The primary command SHALL allow eligible users to move between loop stages while preserving context, object identity, provenance, work state, and a deterministic return path; navigation, search, inspection, drafting, acknowledgment, review, approval, publication, and institutional effect SHALL remain visually and behaviorally distinct, attributable, recoverable, and replayable.",V09-F001,ux,partial,unverified,branch-only,phase6,P7-E,"apps/web/app/observation/layout.tsx; apps/web/app/decisions/layout.tsx; apps/web/app/admin/layout.tsx (+intelligence/graph/prediction/twins layouts) (rail links Observation→Intelligence→Graph→Prediction→Twins→Decisions); e2e/phase6-decisions.demo.spec.ts: DECISIONS: the committed package shows its state, SYNTHETIC consequences, the choice, dissent, approvals and the C3 commitment","Move between loop stages preserving object identity, provenance, work state and a deterministic return path (no draft/return-path persistence exists).",Decisions stage is branch-only (phase6-decisions); Observation…Twins are on main; verification class required by the volume: Interaction + command test | release_status merged → branch-only from the evidence at 2e83945,v09.txt:page 12:L412,branch+main+test
UX-02-004,V9,2 Experience Doctrine and Strategic Intelligence Loop,12,"The experience SHALL enforce this human-authority boundary: The experience may recommend a next stage but may not skip a required review, evidence, or human decision gate. AI and automation may recommend, forecast, simulate, reason, explain, or execute explicitly pre-authorized reversible workflow steps, but SHALL NOT infer, preselect, obscure, or synthesize final human decision authority.",V09-F001,ux,partial,unverified,branch-only,phase6,P7-E,"apps/web/app/observation/layout.tsx; apps/web/app/decisions/layout.tsx; apps/web/app/admin/layout.tsx (+intelligence/graph/prediction/twins layouts) (rail links Observation→Intelligence→Graph→Prediction→Twins→Decisions); e2e/phase6-decisions.demo.spec.ts: DECISIONS: the committed package shows its state, SYNTHETIC consequences, the choice, dissent, approvals and the C3 commitment","Render eligibility, separation/delegation/recusal, exact digest, consequence preview, deliberate action, signature and denial for: The experience may recommend a next stage but may not skip a required review, evidence, or human decision gate.",Decisions stage is branch-only (phase6-decisions); Observation…Twins are on main; verification class required by the volume: Authority + consequence test | release_status merged → branch-only from the evidence at 2e83945,v09.txt:page 12:L423,branch+main+test
