id,volume,chapter,page,clause,family_seed,capability_area,impl_status,verif_status,release_status,phase_origin,package,evidence,remaining_work,notes
IR-01-001,V10,1 Executive Investment Thesis,13,Represent Executive Investment Thesis only within the declared claim class and scope,V10-F001,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,"Claim-register entry for this chapter (exact wording, class FROZEN, owner approval) does not exist in the repository; maintain it in the P7-F claim-to-evidence register","claim-control obligation on the investor package, not product behaviour; cross-volume REL-14, DR-20"
IR-01-002,V10,1 Executive Investment Thesis,13,"Prevent architecture or planning language from implying actual product, customer or financial status",V10-F001,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,Finance and legal review of the chapter wording before external use; no product behaviour,"claim-control obligation on the investor package, not product behaviour; cross-volume REL-08"
IR-01-003,V10,1 Executive Investment Thesis,13,"A working production loop, paid consequential use, repeatable deployment, independently tested controls, and verified corporate facts must replace architectural intent with operating evidence.",V10-F001,decision,partial,passed:harness+browser,branch-only,phase6,R0,apps/api/migrations/0041_decision_packages.sql;apps/api/migrations/0042_decision_approvals_and_commitment.sql;apps/api/migrations/0043_decision_replay.sql;apps/api/migrations/0045_decision_monitoring_and_outcomes.sql;test/int/phase6-decisions.test.ts;test/int/phase6-approvals.test.ts;test/int/phase6-replay.test.ts: known / believed / tested hold only what was recorded under the cut-offs;test/int/phase6-monitoring.test.ts: the chosen run's exact output becomes a SIMULATED element; the outcomes upload becomes an OBSERVED element;e2e/phase6-decisions.demo.spec.ts: DECISIONS / REPLAY / BRIEFINGS;evidence/demo-virgin-transcript.txt,"Production deployment of the loop (today: a fresh local Docker Compose demonstration); independent testing of controls (P7-D); paid consequential use, repeatable deployment across profiles and verified corporate facts are business/issuer evidence",closed loop delivered on phase6-decisions (unmerged); see V10-T-001; main ends at migration 0027 (Phase 3); Phases 4–6 and scheduled collection are unmerged branches behind the C15 image finding; Appendix N boundary: Production closed-loop completion
IR-01-004,V10,1 Executive Investment Thesis,13,"Expire, withdraw and replace affected claims when evidence or assumptions change materially",V10-F001,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,"Correction route (owner, distribution list, withdrawal, replacement, receipt) exists outside the product; none is recorded in the repository","claim-control obligation on the investor package, not product behaviour; cross-volume REL-19, DR-20"
IR-02-001,V10,2 Strategic Intelligence Failure,15,Represent Strategic Intelligence Failure only within the declared claim class and scope,V10-F001,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,"Claim-register entry for this chapter (exact wording, class FROZEN, owner approval) does not exist in the repository; maintain it in the P7-F claim-to-evidence register","claim-control obligation on the investor package, not product behaviour; cross-volume REL-14, DR-20"
IR-02-002,V10,2 Strategic Intelligence Failure,15,"Prevent architecture or planning language from implying actual product, customer or financial status",V10-F001,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,Finance and legal review of the chapter wording before external use; no product behaviour,"claim-control obligation on the investor package, not product behaviour; cross-volume REL-08"
IR-02-003,V10,2 Strategic Intelligence Failure,15,"Evidence must show that the system reduces decision latency or improves decision quality across a complete journey, not merely that it retrieves or summarizes information.",V10-F001,commercial,missing,not-applicable,none,not-applicable,P7-F,,"Business/issuer validation (finance, legal, board, customers); no product behaviour to build",business assumption to validate; never an achieved outcome; decision-cycle latency and outcome replay coverage would need product analytics (P7-F); Appendix N boundary: Decision-cycle latency
IR-02-004,V10,2 Strategic Intelligence Failure,15,"Expire, withdraw and replace affected claims when evidence or assumptions change materially",V10-F001,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,"Correction route (owner, distribution list, withdrawal, replacement, receipt) exists outside the product; none is recorded in the repository","claim-control obligation on the investor package, not product behaviour; cross-volume REL-19, DR-20"
IR-03-001,V10,3 Category Definition,17,Represent Category Definition only within the declared claim class and scope,V10-F001,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,"Claim-register entry for this chapter (exact wording, class FROZEN, owner approval) does not exist in the repository; maintain it in the P7-F claim-to-evidence register","claim-control obligation on the investor package, not product behaviour; cross-volume REL-14, DR-20"
IR-03-002,V10,3 Category Definition,17,"Prevent architecture or planning language from implying actual product, customer or financial status",V10-F001,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,Finance and legal review of the chapter wording before external use; no product behaviour,"claim-control obligation on the investor package, not product behaviour; cross-volume REL-08"
