id,volume,chapter,page,clause,family_seed,capability_area,impl_status,verif_status,release_status,phase_origin,package,evidence,remaining_work,notes
DP-01-001,V7,1 Data Platform Authority and Scope,10,"The data-platform realization of Data Platform Authority and Scope SHALL translate the frozen product, engineering, AI, and infrastructure baselines into governed data capabilities without changing canonical ownership or strategic meaning.",V07-F001,governance-docs,partial,unverified,merged,phase0,P7-D,"apps/api/migrations/0006_objects.sql (owning_component, accountable_owner); apps/api/scripts/authority-inventory.mjs; conformance.manifest.json; DECISIONS.md ADR-P0-02/03; EXCEPTIONS.md","No data-capability register mapping each asset/pipeline/store to canonical layer, authority class and lifecycle state; capability identity lives in code comments (CP-*) not a reconciled inventory",Boundary (no decision rights for the platform) is enforced by human_gate obligations and decision_authority checks: test/int/phase6-approvals.test.ts
DP-01-002,V7,1 Data Platform Authority and Scope,10,"Every production instance SHALL declare and continuously reconcile data capability identity, accountable owner, canonical layer, authority class, lifecycle state, deployment scope, control evidence, and conformance disposition through versioned contracts, observed state, ownership, lineage, and audit evidence.",V07-F001,governance-docs,partial,unverified,merged,phase0,P7-D,"apps/api/migrations/0006_objects.sql (owning_component, accountable_owner); apps/api/scripts/authority-inventory.mjs; conformance.manifest.json; DECISIONS.md ADR-P0-02/03; EXCEPTIONS.md",Add a versioned data-capability inventory reconciled against observed schemas/ports (authority-inventory.mjs covers ports only),Boundary (no decision rights for the platform) is enforced by human_gate obligations and decision_authority checks: test/int/phase6-approvals.test.ts
DP-01-003,V7,1 Data Platform Authority and Scope,10,"The implementation SHALL enforce this authority boundary: the Data Platform may transport, persist, process, index, and serve governed data but may not create an eleventh product layer, grant itself decision rights, or replace a canonical system of record.",V07-F001,governance-docs,implemented,passed:harness,merged,phase0,done,"apps/api/migrations/0006_objects.sql (owning_component, accountable_owner); apps/api/scripts/authority-inventory.mjs; conformance.manifest.json; DECISIONS.md ADR-P0-02/03; EXCEPTIONS.md",,Boundary (no decision rights for the platform) is enforced by human_gate obligations and decision_authority checks: test/int/phase6-approvals.test.ts
DP-01-004,V7,1 Data Platform Authority and Scope,11,"SaaS, Private Cloud, and On-Premise SHALL preserve the same object, temporal, truth-state, provenance, policy, correction, export, failure, replay, and human-authority semantics for Data Platform Authority and Scope.",V07-F001,governance-docs,missing,unverified,none,phase7,P7-D,"EXCEPTIONS.md: EXC-P0-004 (single deployment profile, local Compose); docker-compose.yml",Deliver Private Cloud and On-Premise profiles and run shared conformance fixtures for Data Platform Authority and Scope semantics across all three; only the local profile exists,Semantics of this chapter exist (or not) only in the local profile; parity across profiles is unclaimed (EXC-P0-004)
DP-01-005,V7,1 Data Platform Authority and Scope,11,"When a data capability, asset, pipeline, store, or product cannot resolve to an approved authority and ownership contract, the platform SHALL deny registration or production admission, preserve the disputed state, and route the conflict through architecture and data governance; it SHALL NOT infer complete, current, authorized, correct, reconciled, or recovered data state.",V07-F001,governance-docs,partial,passed:harness,merged,phase0,P7-D,"apps/api/migrations/0006_objects.sql (owning_component, accountable_owner); apps/api/scripts/authority-inventory.mjs; conformance.manifest.json; DECISIONS.md ADR-P0-02/03; EXCEPTIONS.md","Registration refusal exists for objects/sources without provenance/owner (EYE-PRV-001, src_approved_has_approver); no governance routing queue for disputed authority",Boundary (no decision rights for the platform) is enforced by human_gate obligations and decision_authority checks: test/int/phase6-approvals.test.ts
DP-01-006,V7,1 Data Platform Authority and Scope,11,"Production admission and continued operation SHALL require complete capability inventory, authority mapping, ownership acceptance, cross-deployment conformance, and signed operational evidence, bound to the exact contracts, schemas, code, data versions, policies, infrastructure, customer scope, deployment profile, and period under review.",V07-F001,governance-docs,partial,passed:ci,merged,phase0,P7-D,"apps/api/migrations/0006_objects.sql (owning_component, accountable_owner); apps/api/scripts/authority-inventory.mjs; conformance.manifest.json; DECISIONS.md ADR-P0-02/03; EXCEPTIONS.md",No signed operational evidence per deployment profile/period; CI gates (C15-C19) are the only admission evidence,"Boundary (no decision rights for the platform) is enforced by human_gate obligations and decision_authority checks: test/int/phase6-approvals.test.ts; Evidence is bound to the head SHA/digests of the local profile, not to a customer scope or period"
DP-02-001,V7,2 Specification Hierarchy and Data Conformance,12,"The data-platform realization of Specification Hierarchy and Data Conformance SHALL enforce the control order from constitutional meaning through data contracts, schemas, pipelines, products, releases, and observed operation.",V07-F001,governance-docs,partial,unverified,merged,phase0,P7-D,conformance.manifest.json; EXCEPTIONS.md (exception expiry dates); .github/workflows/ci.yml: C16 target-resolved closure gate; scripts/gate/closure-exclusions.json; PROGRESS.md: Document authority model,Control order is documented (PROGRESS.md authority model) but no machine-readable artifact hierarchy binds contracts->schemas->pipelines->releases,
DP-02-002,V7,2 Specification Hierarchy and Data Conformance,12,"Every production instance SHALL declare and continuously reconcile normative data artifact identity, authority, version, effective time, supersession, exception, dependency closure, and affected release set through versioned contracts, observed state, ownership, lineage, and audit evidence.",V07-F001,governance-docs,partial,passed:ci,merged,phase0,P7-D,conformance.manifest.json; EXCEPTIONS.md (exception expiry dates); .github/workflows/ci.yml: C16 target-resolved closure gate; scripts/gate/closure-exclusions.json; PROGRESS.md: Document authority model,Exception expiry is a date in EXCEPTIONS.md; nothing in the product holds a release when an exception expires,
DP-02-003,V7,2 Specification Hierarchy and Data Conformance,12,"The implementation SHALL enforce this authority boundary: lower-level data specifications may add precision but may not weaken temporal truth, provenance, customer control, access, retention, human authority, or canonical ownership.",V07-F001,governance-docs,partial,unverified,merged,phase0,P7-D,conformance.manifest.json; EXCEPTIONS.md (exception expiry dates); .github/workflows/ci.yml: C16 target-resolved closure gate; scripts/gate/closure-exclusions.json; PROGRESS.md: Document authority model,No conformance check that a lower-level schema cannot weaken header/temporal/policy semantics beyond the fixed 43-field header validation,
DP-02-004,V7,2 Specification Hierarchy and Data Conformance,13,"SaaS, Private Cloud, and On-Premise SHALL preserve the same object, temporal, truth-state, provenance, policy, correction, export, failure, replay, and human-authority semantics for Specification Hierarchy and Data Conformance.",V07-F001,governance-docs,missing,unverified,none,phase7,P7-D,"EXCEPTIONS.md: EXC-P0-004 (single deployment profile, local Compose); docker-compose.yml",Deliver Private Cloud and On-Premise profiles and run shared conformance fixtures for Specification Hierarchy and Data Conformance semantics across all three; only the local profile exists,Semantics of this chapter exist (or not) only in the local profile; parity across profiles is unclaimed (EXC-P0-004)
