id,volume,chapter,page,clause,family_seed,capability_area,impl_status,verif_status,release_status,phase_origin,package,evidence,remaining_work,notes,source_ref,evidence_scope
AI-01-001,V5,1 AI Architecture Authority and Scope,10,"Every AI capability SHALL identify its owning canonical layer, V3 logical component, V4 deployable owner, task contract, consequence class, product schema, control profile, evaluation profile, and accountable human owner.",V05-F001,governance-docs,missing,unverified,none,omission,P7-B,,"AI inventory mapping every capability to layer, component, task contract, consequence class, control/evaluation profile and owner; no such register exists (this audit is the first).",Ch.1 authority and scope; governance rather than runtime behaviour.,v05.txt:page 10:L283,
AI-01-002,V5,1 AI Architecture Authority and Scope,10,"No model, agent, evaluator, retrieval service, or learned artifact SHALL establish independent strategic truth, final decision authority, policy authority, or canonical state ownership.",V05-F001,governance-docs,implemented,passed:harness,branch-only,phase2,done,test/int/phase2-acceptance.test.ts: B1 (claims admitted only via canonical path); test/int/phase3-acceptance.test.ts: C2 (an AGENT cannot decide a resolution); test/int/phase6-agents.test.ts (decision agent refused at PDP); apps/api/src/policy/pdp.service.ts,,Truth and decision authority sit in owning ports and human roles; agents hold no deciding action. | release_status merged → branch-only from the evidence at 2e83945,v05.txt:page 10:L293,branch+main+test
AI-01-003,V5,1 AI Architecture Authority and Scope,10,"AI output SHALL enter shared product state only through the owning component's admission contract with explicit truth state, uncertainty, provenance, policy, quality, and lifecycle.",V05-F001,governance-docs,implemented,passed:harness,merged,phase2,done,test/int/phase2-acceptance.test.ts: B1/B3; apps/api/src/intelligence/extraction/extraction.service.ts (admitObject through the canonical path),,,v05.txt:page 10:L301,main+test
AI-01-004,V5,1 AI Architecture Authority and Scope,10,"An implementation SHALL NOT represent itself as The Eye when it bypasses human final authority, temporal truth, end-to-end provenance, tenant isolation, deployment semantic parity, or governed learning.",V05-F001,governance-docs,partial,unverified,none,phase7,P7-D,,"Deployment parity and governed learning are absent, so the product cannot yet claim the full boundary this clause protects.",,v05.txt:page 10:L310,
AI-01-005,V5,1 AI Architecture Authority and Scope,10,"Production release SHALL be blocked when the applicable AI architecture, engineering, evaluation, safety, data, deployment, or operational evidence is absent, stale, or bound to another artifact version.",V05-F001,governance-docs,partial,passed:ci,merged,phase0,P7-B,.github/workflows/ci.yml; .github/workflows/c17-finalize.yml; test/gate/c17-workflow-contract.test.ts; docs/SCANNER_DISPOSITIONS.md,"Release blocking on AI evaluation/safety evidence; today gates cover supply chain, licences, containment and tests only.",,v05.txt:page 10:L320,main+test
AI-02-001,V5,2 AI Specification Hierarchy and Conformance,12,"Every AI artifact SHALL declare controlling specifications, owner, status, version, effective time, task scope, consequence scope, evaluation expiry, dependencies, and supersession.",V05-F001,governance-docs,partial,passed:harness,merged,phase2,P2,"apps/api/src/intelligence/methods/methods.service.ts (status, version, approval by a different person, activation supersedes); test/int/phase2-acceptance.test.ts: B5","Evaluation expiry, consequence scope, dependency and supersession declarations on every AI artifact.",,v05.txt:page 12:L377,main+test
AI-02-002,V5,2 AI Specification Hierarchy and Conformance,12,"Conformance SHALL be re-evaluated when model, agent, prompt, context source, retrieval method, tool, policy, schema, evaluation population, deployment, or external dependency changes materially.",V05-F001,governance-docs,partial,passed:harness,branch-only,phase2,P2,test/int/phase2-acceptance.test.ts: B5 (a changed prompt/decoding is a different identity); test/int/phase4-acceptance.test.ts: D3 (backtest applicability per series/horizon/cutoff),"Re-evaluation triggers for policy, schema, deployment and dependency changes.",release_status merged → branch-only from the evidence at 2e83945,v05.txt:page 12:L386,branch+main+test
AI-02-003,V5,2 AI Specification Hierarchy and Conformance,12,"Derived AI specifications SHALL reference parent requirements and SHALL NOT replace explicit uncertainty, provenance, abstention, human gate, or deployment-parity obligations with aggregate quality claims.",V05-F001,governance-docs,missing,unverified,none,omission,P7-B,,"Conformance registry: declared controlling specs, versions, effective time, evaluation expiry, exceptions and re-evaluation triggers per AI artifact.",Ch.2 specification hierarchy.,v05.txt:page 12:L396,
AI-02-004,V5,2 AI Specification Hierarchy and Conformance,12,"Conditional conformance SHALL identify the exact affected tenants, tasks, products, decisions, controls, monitoring, expiry, and closure criteria.",V05-F001,governance-docs,missing,unverified,none,omission,P7-B,,"Conformance registry: declared controlling specs, versions, effective time, evaluation expiry, exceptions and re-evaluation triggers per AI artifact.",Ch.2 specification hierarchy.,v05.txt:page 12:L405,
AI-02-005,V5,2 AI Specification Hierarchy and Conformance,12,"Expired, revoked, or indeterminate conformance SHALL stop new resolution of the affected artifact and initiate impact analysis for active runs and decision-active products.",V05-F001,governance-docs,partial,passed:harness,branch-only,phase6,P7-B,test/int/phase6-scheduled-collection.test.ts (a REFUSED run: the agent is revoked); apps/api/src/intelligence/methods/methods.service.ts (method transitions),Impact analysis for active runs and decision-active products when conformance expires.,,v05.txt:page 12:L414,branch+main+test
