id,volume,chapter,page,clause,family_seed,capability_area,impl_status,verif_status,release_status,phase_origin,package,evidence,remaining_work,notes,source_ref,evidence_scope
ES-01-001,V4,1 Engineering Authority and Scope,10,"Every deployable unit SHALL identify its owning canonical layer, component ID, state boundary, contracts, quality obligations, and accountable engineering owner.",V04-F001,governance-docs,partial,unverified,merged,phase0,P7-D,"conformance.manifest.json (Phase 0 units only; maps paths→component_ids→controls); .dependency-cruiser.cjs; .github/workflows/ci.yml: build-test ""Module boundaries (dependency-cruiser, blocking)""","Extend the conformance manifest beyond Phase 0 units to every module (observation…executive) with layer/component ids, state boundary, contracts, quality obligations and owner; add a release check that rejects unmapped units.",Governance spine (Phase 0) exists only for Phase 0 units. Spec verification class: Test + accountable review.,v04.txt:page 10:L261,main+test
ES-01-002,V4,1 Engineering Authority and Scope,10,Every material behavior SHALL trace to an approved requirement in this volume and to the controlling architecture chapter or invariant.,V04-F001,governance-docs,partial,unverified,merged,phase0,P7-D,"conformance.manifest.json (Phase 0 units only; maps paths→component_ids→controls); .dependency-cruiser.cjs; .github/workflows/ci.yml: build-test ""Module boundaries (dependency-cruiser, blocking)""","Extend the conformance manifest beyond Phase 0 units to every module (observation…executive) with layer/component ids, state boundary, contracts, quality obligations and owner; add a release check that rejects unmapped units.",Governance spine (Phase 0) exists only for Phase 0 units. Spec verification class: Automated conformance test.,v04.txt:page 10:L270,main+test
ES-01-003,V4,1 Engineering Authority and Scope,10,"Implementation convenience SHALL NOT collapse canonical layers, bypass human authority, erase provenance, or create a second source of strategic truth.",V04-F001,governance-docs,implemented,passed:ci,merged,phase0,done,".dependency-cruiser.cjs; .github/workflows/ci.yml: build-test ""Module boundaries (dependency-cruiser, blocking)""; apps/api/src/policy/pdp.service.ts (default DENY, indeterminate→deny, obligations executed); apps/api/test/unit/pdp.test.ts; test/acceptance/acceptance.test.ts:747 (provenance required); DECISIONS.md ADR-P0-02",,"Structural guard (module boundaries, PDP, provenance CHECK); ongoing obligation. Spec verification class: Test + accountable review.",v04.txt:page 10:L279,main+test
ES-01-004,V4,1 Engineering Authority and Scope,10,"A product surface MAY aggregate capabilities, but the underlying ownership, authorization, evidence, and failure states SHALL remain separable and testable.",V04-F001,governance-docs,partial,unverified,merged,phase0,P7-D,"conformance.manifest.json (Phase 0 units only; maps paths→component_ids→controls); .dependency-cruiser.cjs; .github/workflows/ci.yml: build-test ""Module boundaries (dependency-cruiser, blocking)""","Extend the conformance manifest beyond Phase 0 units to every module (observation…executive) with layer/component ids, state boundary, contracts, quality obligations and owner; add a release check that rejects unmapped units.",Governance spine (Phase 0) exists only for Phase 0 units. Spec verification class: Fault / recovery test.,v04.txt:page 10:L288,main+test
ES-01-005,V4,1 Engineering Authority and Scope,10,"A release SHALL be rejected when conformance evidence is absent, stale, unverifiable, or scoped to a different artifact version.",V04-F001,governance-docs,partial,passed:ci,merged,phase0,P7-D,".github/workflows/ci.yml: supply-chain ""Assert the manifests state FINAL mode and the exact Actions head SHA""; scripts/gate/assert-final-manifests.mjs; apps/api/test/gate/final-manifest-verifier.test.ts","Gate evidence is bound to the head SHA for supply-chain/C18 only; no release object exists to reject, and functional conformance evidence is not artifact-scoped.",Governance spine (Phase 0) exists only for Phase 0 units. Spec verification class: Automated conformance test.,v04.txt:page 10:L296,main+test
ES-02-001,V4,2 Specification Hierarchy and Conformance,12,"Every normative artifact SHALL declare authority, owner, status, version, effective time, supersession, and dependent artifacts.",V04-F001,governance-docs,partial,unverified,merged,phase0,P7-D,"conformance.manifest.json (Phase 0 units only; maps paths→component_ids→controls); EXCEPTIONS.md (EXC-P0-001…005, EXC-P1-001…002); DECISIONS.md (inline ADR-P0-01…17)",Machine-readable conformance manifest at build/release time for all units; exception register with automated expiry enforcement; re-evaluation trigger on controlling change.,EXCEPTIONS.md carries scope/rationale/expiry; EXC-P0-003 stale vs C19 signing. Spec verification class: Test + accountable review.,v04.txt:page 12:L344,main
ES-02-002,V4,2 Specification Hierarchy and Conformance,12,Every implementation repository SHALL expose a machine- readable conformance manifest at build and release time.,V04-F001,governance-docs,partial,passed:ci,merged,phase0,P7-D,conformance.manifest.json (Phase 0 units only; maps paths→component_ids→controls); test/acceptance/acceptance.test.ts:874 (compose digests recorded in the manifest),Extend the manifest to all units and emit it as a release-time artifact.,EXCEPTIONS.md carries scope/rationale/expiry; EXC-P0-003 stale vs C19 signing. Spec verification class: Automated conformance test.,v04.txt:page 12:L351,main+test
ES-02-003,V4,2 Specification Hierarchy and Conformance,12,"A conditional exception SHALL carry scope, rationale, risk acceptance, compensating controls, expiry, and closure criteria.",V04-F001,governance-docs,implemented,passed:harness,merged,phase0,done,"EXCEPTIONS.md (exception_id, scope, rationale, compensating controls, expiry_milestone, closure); test/acceptance/acceptance.test.ts:904 (no constitutional invariant waived)",,EXC-P0-003 remains open although C19 signing exists (stale entry). Spec verification class: Fault / recovery test.,v04.txt:page 12:L358,main+test
ES-02-004,V4,2 Specification Hierarchy and Conformance,12,No component owner MAY approve an exception that expands that component's authority or removes an independent control.,V04-F001,governance-docs,missing,not-applicable,none,omission,P7-D,EXCEPTIONS.md (single founding engineer approves),Independent approver separation for exceptions; today one owner records and approves.,EXCEPTIONS.md carries scope/rationale/expiry; EXC-P0-003 stale vs C19 signing. Spec verification class: Test + accountable review.,v04.txt:page 12:L363,main
ES-02-005,V4,2 Specification Hierarchy and Conformance,12,"Conformance SHALL be re-evaluated when controlling specifications, schemas, policies, models, deployment constraints, or dependencies change.",V04-F001,governance-docs,partial,unverified,merged,phase0,P7-D,"conformance.manifest.json (Phase 0 units only; maps paths→component_ids→controls); EXCEPTIONS.md (EXC-P0-001…005, EXC-P1-001…002); DECISIONS.md (inline ADR-P0-01…17)",Machine-readable conformance manifest at build/release time for all units; exception register with automated expiry enforcement; re-evaluation trigger on controlling change.,EXCEPTIONS.md carries scope/rationale/expiry; EXC-P0-003 stale vs C19 signing. Spec verification class: Automated conformance test.,v04.txt:page 12:L371,main
ES-03-001,V4,3 Normative Requirement Model,14,A mandatory requirement SHALL have at least one executable or independently reviewable verification method before implementation is accepted.,V04-F001,governance-docs,missing,not-applicable,none,omission,P7-D,,"Create a requirement registry (ids, verification method, lifecycle, supersession) that release evidence references; no requirement→test→artifact traceability manifest exists.",Spec-authoring rule; the repository has no requirement registry. Spec verification class: Automated conformance test.,v04.txt:page 14:L418,
ES-03-002,V4,3 Normative Requirement Model,14,Requirement text SHALL state one controlling obligation and avoid hidden compound conditions that cannot be tested independently.,V04-F001,governance-docs,missing,not-applicable,none,omission,P7-D,,"Create a requirement registry (ids, verification method, lifecycle, supersession) that release evidence references; no requirement→test→artifact traceability manifest exists.",Spec-authoring rule; the repository has no requirement registry. Spec verification class: Automated conformance test.,v04.txt:page 14:L427,
ES-03-003,V4,3 Normative Requirement Model,14,Derived requirements SHALL reference their parent requirement and SHALL NOT weaken its acceptance threshold.,V04-F001,governance-docs,missing,not-applicable,none,omission,P7-D,,"Create a requirement registry (ids, verification method, lifecycle, supersession) that release evidence references; no requirement→test→artifact traceability manifest exists.",Spec-authoring rule; the repository has no requirement registry. Spec verification class: Negative conformance test.,v04.txt:page 14:L435,
ES-03-004,V4,3 Normative Requirement Model,14,"A superseded requirement SHALL remain resolvable for Decision Replay, incident analysis, audit, and historical conformance reconstruction.",V04-F001,governance-docs,partial,unverified,merged,phase0,P7-D,docs/*.pdf|docx pinned blobs (INVENTORY.md); git history,Superseded requirements are only resolvable through document history; no queryable registry.,Spec-authoring rule; the repository has no requirement registry. Spec verification class: Operational exercise.,v04.txt:page 14:L443,main
ES-03-005,V4,3 Normative Requirement Model,14,"Metrics used as acceptance evidence SHALL declare population, window, unit, aggregation, exclusions, threshold, and data lineage.",V04-F001,governance-docs,partial,passed:ci,merged,phase0,P7-D,apps/api/test/gate/receipt-invariants.test.ts; final-receipt-semantics.test.ts (gate receipts declare population/scope),Product-quality metrics with declared population/window/threshold do not exist (ch.57).,Spec-authoring rule; the repository has no requirement registry. Spec verification class: Automated conformance test.,v04.txt:page 14:L451,main+test
