id,volume,chapter,page,clause,family_seed,capability_area,impl_status,verif_status,release_status,phase_origin,package,evidence,remaining_work,notes,source_ref,evidence_scope
IA-01-001,V6,1 Infrastructure Architecture Authority and Scope,10,"The infrastructure realization of Infrastructure Architecture Authority and Scope SHALL translate the frozen constitutional, technical, engineering, and AI baselines into deployable infrastructure without changing product meaning.",V06-F001,governance-docs,partial,unverified,merged,phase0,P7-D,"conformance.manifest.json (repository units -> component ids, controls, owners; Phase 0 framing); docs/the-eye-master-build-prompt.md",No infrastructure realization beyond the local compose profile; no infrastructure manifests (Vol 6 App H) translating the baselines into deployable infrastructure,"Vol 6 App N anchors: C-001, C-003, C-004, C-008, C-051, C-052; V4:1, V4:4, V4:6, V4:7, V4:72; V5:1, V5:2, V5:6, V5:71, V5:72",v06.txt:page 10:L295,main
IA-01-002,V6,1 Infrastructure Architecture Authority and Scope,10,"Every production instance SHALL declare and continuously reconcile infrastructure component identity, deployment profile, owner, lifecycle state, control evidence, and conformance disposition through versioned desired state, observed state, ownership, and audit evidence.",V06-F001,governance-docs,partial,unverified,merged,phase0,P7-D,"conformance.manifest.json (repository units -> component ids, controls, owners; Phase 0 framing)","conformance.manifest.json is a static Phase 0 mapping (units->components/controls/owners); no observed-state inventory, lifecycle state, deployment profile, control evidence or reconciliation","Vol 6 App N anchors: C-001, C-003, C-004, C-008, C-051, C-052; V4:1, V4:4, V4:6, V4:7, V4:72; V5:1, V5:2, V5:6, V5:71, V5:72",v06.txt:page 10:L305,main
IA-01-003,V6,1 Infrastructure Architecture Authority and Scope,10,"The implementation SHALL enforce this boundary: infrastructure may host canonical capabilities but may not own strategic truth, policy meaning, final decisions, or an eleventh product layer.",V06-F001,governance-docs,partial,passed:harness,merged,phase0,P7-D,"apps/api/src/policy/pdp.service.ts (default deny, INDETERMINATE->deny, obligations, consequence class); apps/api/src/audit/audit.service.ts (hash chain verify/seal, tamper freeze); migrations/0004_audit.sql; migrations/0018_verifier_seal_governance.sql; test/int/audit-chain.test.ts; test/int/gate22-verifier-seal.test.ts; test/int/gate22-authority-matrix.test.ts","Boundary holds by construction (truth, policy and final decisions live in application/database authority, not infrastructure); no boundary test framed for infrastructure components","Vol 6 App N anchors: C-001, C-003, C-004, C-008, C-051, C-052; V4:1, V4:4, V4:6, V4:7, V4:72; V5:1, V5:2, V5:6, V5:71, V5:72",v06.txt:page 10:L317,main+test
IA-01-004,V6,1 Infrastructure Architecture Authority and Scope,10,"SaaS, Private Cloud, and On-Premise SHALL preserve the same authority, state, isolation, failure, recovery, evidence, replay, and human-decision semantics for Infrastructure Architecture Authority and Scope.",V06-F001,governance-docs,missing,unverified,none,omission,P7-D,"docker-compose.yml (digest-pinned postgres/redis, loopback only, required env, local-dev profile per EXC-P0-004); apps/api/src/policy/pdp.service.ts (environment.deployment hard-coded local-dev)","Only the local-dev profile exists; no SaaS, Private Cloud or On-Premise profile and no shared conformance fixtures proving identical semantics for this chapter","Cross-volume: V0 C-042 (deployment semantic parity); V3 Ch 39–43; V4 Ch 14.; Vol 6 App N anchors: C-001, C-003, C-004, C-008, C-051, C-052; V4:1, V4:4, V4:6, V4:7, V4:72; V5:1, V5:2, V5:6, V5:71, V5:72",v06.txt:page 10:L327,main
IA-01-005,V6,1 Infrastructure Architecture Authority and Scope,11,"When a workload, platform service, or deployment cannot resolve to an approved infrastructure contract, the platform SHALL deny registration or promotion, preserve the nonconformant state, and route the conflict to architecture governance; it SHALL NOT infer healthy, complete, current, authorized, or recovered state.",V06-F001,governance-docs,partial,passed:ci,merged,phase0,P7-D,".github/workflows/ci.yml: supply-chain (C16 target-resolved closure gate, blocking); scripts/gate/lib/lock-closure.mjs","Promotion denial exists only for dependency/lockfile closure of code; no registry of approved infrastructure contracts, no preserved non-conformant state, no routing to architecture governance","Vol 6 App N anchors: C-001, C-003, C-004, C-008, C-051, C-052; V4:1, V4:4, V4:6, V4:7, V4:72; V5:1, V5:2, V5:6, V5:71, V5:72",v06.txt:page 10:L290,main+test
IA-01-006,V6,1 Infrastructure Architecture Authority and Scope,11,"Production admission and continued operation SHALL require complete component inventory, authority trace, cross-deployment conformance, and signed operational acceptance, bound to the exact artifacts, configuration, topology, customer scope, deployment profile, and period under review.",V06-F001,governance-docs,missing,unverified,none,omission,P7-D,,"No production admission gate binds complete component inventory, authority trace, cross-deployment conformance, and signed operational acceptance to exact artifacts, configuration, topology, customer scope, profile and period; CI binds gate evidence to a commit SHA and run attempt only","Vol 6 App N anchors: C-001, C-003, C-004, C-008, C-051, C-052; V4:1, V4:4, V4:6, V4:7, V4:72; V5:1, V5:2, V5:6, V5:71, V5:72",v06.txt:page 11:L355,
IA-02-001,V6,2 Specification Hierarchy and Conformance,12,"The infrastructure realization of Specification Hierarchy and Conformance SHALL enforce the control order from Volume 0 through infrastructure manifests, implementation, verification, and operational evidence.",V06-F001,governance-docs,partial,unverified,branch-only,phase0,P7-D,conformance.manifest.json (controls cite ES/ADR ids); apps/api/migrations/*.sql headers cite ES/ADR/Gate ids; scripts/gate/target-descriptor.json,Control order is documented in code comments and the Phase 0 manifest; no manifest -> implementation -> verification -> operational-evidence chain from Volume 0 through infrastructure,"Vol 6 App N anchors: C-003, C-008, C-050, C-051, C-052; V4:2, V4:3, V4:6, V4:23, V4:72; V5:2, V5:6, V5:70, V5:71, V5:72 | release_status merged → branch-only from the evidence at 2e83945",v06.txt:page 12:L424,branch+main+test
IA-02-002,V6,2 Specification Hierarchy and Conformance,12,"Every production instance SHALL declare and continuously reconcile normative artifact identity, authority, version, effective time, supersession, exception, and dependent release set through versioned desired state, observed state, ownership, and audit evidence.",V06-F001,governance-docs,partial,unverified,merged,phase0,P7-D,"scripts/gate/scanner-exclusions.json + docs/SCANNER_DISPOSITIONS.md (exception identity, digest binding, expiry)","Exception registry covers scanner findings only; no registry of normative artifact identity, authority, version, effective time, supersession and dependent release set","Vol 6 App N anchors: C-003, C-008, C-050, C-051, C-052; V4:2, V4:3, V4:6, V4:23, V4:72; V5:2, V5:6, V5:70, V5:71, V5:72",v06.txt:page 10:L305,main+test
IA-02-003,V6,2 Specification Hierarchy and Conformance,12,The implementation SHALL enforce this boundary: lower-level infrastructure specifications may add precision but may not weaken a higher authority or conceal semantic divergence.,V06-F001,governance-docs,missing,unverified,none,omission,P7-D,,Nothing checks that a lower-level specification or manifest does not weaken a higher authority; add manifest lint against the Vol 0/3/4/5 control order,"Vol 6 App N anchors: C-003, C-008, C-050, C-051, C-052; V4:2, V4:3, V4:6, V4:23, V4:72; V5:2, V5:6, V5:70, V5:71, V5:72",v06.txt:page 10:L317,
IA-02-004,V6,2 Specification Hierarchy and Conformance,12,"SaaS, Private Cloud, and On-Premise SHALL preserve the same authority, state, isolation, failure, recovery, evidence, replay, and human-decision semantics for Specification Hierarchy and Conformance.",V06-F001,governance-docs,missing,unverified,none,omission,P7-D,"docker-compose.yml (digest-pinned postgres/redis, loopback only, required env, local-dev profile per EXC-P0-004); apps/api/src/policy/pdp.service.ts (environment.deployment hard-coded local-dev)","Only the local-dev profile exists; no SaaS, Private Cloud or On-Premise profile and no shared conformance fixtures proving identical semantics for this chapter","Cross-volume: V0 C-042 (deployment semantic parity); V3 Ch 39–43; V4 Ch 14.; Vol 6 App N anchors: C-003, C-008, C-050, C-051, C-052; V4:2, V4:3, V4:6, V4:23, V4:72; V5:2, V5:6, V5:70, V5:71, V5:72",v06.txt:page 10:L327,main
